 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC             delta      deldot       VmagSn      VmagOb
 2025-Dec-18 03:45     10 51 09.93 +06 40 06.8  1.79807004117666  -1.9563121   64.4042669  65.8698106
 2025-Dec-18 03:46     10 51 09.74 +06 40 07.7  1.79806925676720  -1.9555805   64.4042131  65.8716421
 2025-Dec-18 03:47     10 51 09.55 +06 40 08.7  1.79806847265256  -1.9548419   64.4041593  65.8734741
 2025-Dec-18 03:48     10 51 09.35 +06 40 09.7  1.79806768883550  -1.9540964   64.4041055  65.8753068
 2025-Dec-18 03:49     10 51 09.16 +06 40 10.7  1.79806690531882  -1.9533439   64.4040516  65.8771400
 2025-Dec-18 03:50     10 51 08.97 +06 40 11.7  1.79806612210531  -1.9525845   64.4039978  65.8789738
 2025-Dec-18 03:51     10 51 08.78 +06 40 12.7  1.79806533919774  -1.9518181   64.4039440  65.8808080
 2025-Dec-18 03:52     10 51 08.58 +06 40 13.7  1.79806455659891  -1.9510448   64.4038902  65.8826428
 2025-Dec-18 03:53     10 51 08.39 +06 40 14.6  1.79806377431160  -1.9502645   64.4038364  65.8844780
 2025-Dec-18 03:54     10 51 08.20 +06 40 15.6  1.79806299233862  -1.9494773   64.4037826  65.8863137
 2025-Dec-18 03:55     10 51 08.01 +06 40 16.6  1.79806221068275  -1.9486831   64.4037288  65.8881497
 2025-Dec-18 03:56  r  10 51 07.81 +06 40 17.6  1.79806142934679  -1.9478819   64.4036750  65.8899861
 2025-Dec-18 03:57     10 51 07.62 +06 40 18.6  1.79806064833353  -1.9470737   64.4036212  65.8918229
 2025-Dec-18 03:58     10 51 07.43 +06 40 19.6  1.79805986764578  -1.9462586   64.4035673  65.8936599
 2025-Dec-18 03:59     10 51 07.24 +06 40 20.6  1.79805908728633  -1.9454365   64.4035135  65.8954973
 2025-Dec-18 04:00     10 51 07.05 +06 40 21.5  1.79805830725799  -1.9446074   64.4034597  65.8973349
 2025-Dec-18 04:01     10 51 06.85 +06 40 22.5  1.79805752756356  -1.9437713   64.4034059  65.8991727
 2025-Dec-18 04:02     10 51 06.66 +06 40 23.5  1.79805674820584  -1.9429282   64.4033521  65.9010107
 2025-Dec-18 04:03     10 51 06.47 +06 40 24.5  1.79805596918763  -1.9420781   64.4032983  65.9028489
 2025-Dec-18 04:04     10 51 06.28 +06 40 25.5  1.79805519051175  -1.9412210   64.4032445  65.9046872
 2025-Dec-18 04:05     10 51 06.08 +06 40 26.5  1.79805441218100  -1.9403569   64.4031907  65.9065256
 2025-Dec-18 04:06     10 51 05.89 +06 40 27.4  1.79805363419819  -1.9394858   64.4031369  65.9083641
 2025-Dec-18 04:07     10 51 05.70 +06 40 28.4  1.79805285656612  -1.9386077   64.4030831  65.9102026
 2025-Dec-18 04:08     10 51 05.51 +06 40 29.4  1.79805207928761  -1.9377226   64.4030293  65.9120412
 2025-Dec-18 04:09     10 51 05.31 +06 40 30.4  1.79805130236548  -1.9368305   64.4029755  65.9138798
 2025-Dec-18 04:10     10 51 05.12 +06 40 31.4  1.79805052580252  -1.9359314   64.4029217  65.9157183
 2025-Dec-18 04:11     10 51 04.93 +06 40 32.4  1.79804974960156  -1.9350252   64.4028679  65.9175567
 2025-Dec-18 04:12     10 51 04.74 +06 40 33.4  1.79804897376541  -1.9341121   64.4028141  65.9193951
 2025-Dec-18 04:13     10 51 04.54 +06 40 34.3  1.79804819829688  -1.9331919   64.4027603  65.9212333
 2025-Dec-18 04:14     10 51 04.35 +06 40 35.3  1.79804742319878  -1.9322647   64.4027065  65.9230714
 2025-Dec-18 04:15     10 51 04.16 +06 40 36.3  1.79804664847394  -1.9313305   64.4026527  65.9249093
 2025-Dec-18 04:16     10 51 03.97 +06 40 37.3  1.79804587412517  -1.9303892   64.4025989  65.9267470
 2025-Dec-18 04:17     10 51 03.77 +06 40 38.3  1.79804510015528  -1.9294409   64.4025451  65.9285845
 2025-Dec-18 04:18     10 51 03.58 +06 40 39.3  1.79804432656709  -1.9284857   64.4024913  65.9304216
 2025-Dec-18 04:19     10 51 03.39 +06 40 40.3  1.79804355336343  -1.9275233   64.4024375  65.9322585
 2025-Dec-18 04:20     10 51 03.20 +06 40 41.2  1.79804278054710  -1.9265540   64.4023838  65.9340951
 2025-Dec-18 04:21     10 51 03.00 +06 40 42.2  1.79804200812092  -1.9255776   64.4023300  65.9359313
 2025-Dec-18 04:22     10 51 02.81 +06 40 43.2  1.79804123608771  -1.9245942   64.4022762  65.9377671
 2025-Dec-18 04:23     10 51 02.62 +06 40 44.2  1.79804046445030  -1.9236038   64.4022224  65.9396025
 2025-Dec-18 04:24     10 51 02.43 +06 40 45.2  1.79803969321149  -1.9226064   64.4021686  65.9414375
 2025-Dec-18 04:25     10 51 02.23 +06 40 46.2  1.79803892237410  -1.9216019   64.4021148  65.9432720
 2025-Dec-18 04:26     10 51 02.04 +06 40 47.2  1.79803815194096  -1.9205904   64.4020610  65.9451059
 2025-Dec-18 04:27     10 51 01.85 +06 40 48.1  1.79803738191489  -1.9195719   64.4020072  65.9469394
 2025-Dec-18 04:28     10 51 01.66 +06 40 49.1  1.79803661229869  -1.9185463   64.4019534  65.9487723
 2025-Dec-18 04:29     10 51 01.46 +06 40 50.1  1.79803584309519  -1.9175137   64.4018996  65.9506046
 2025-Dec-18 04:30     10 51 01.27 +06 40 51.1  1.79803507430720  -1.9164741   64.4018459  65.9524363
 2025-Dec-18 04:31     10 51 01.08 +06 40 52.1  1.79803430593755  -1.9154275   64.4017921  65.9542674
 2025-Dec-18 04:32     10 51 00.89 +06 40 53.1  1.79803353798905  -1.9143738   64.4017383  65.9560978
 2025-Dec-18 04:33     10 51 00.69 +06 40 54.1  1.79803277046451  -1.9133132   64.4016845  65.9579275
 2025-Dec-18 04:34     10 51 00.50 +06 40 55.0  1.79803200336675  -1.9122455   64.4016307  65.9597565
 2025-Dec-18 04:35     10 51 00.31 +06 40 56.0  1.79803123669859  -1.9111707   64.4015769  65.9615847
 2025-Dec-18 04:36     10 51 00.12 +06 40 57.0  1.79803047046284  -1.9100890   64.4015232  65.9634121
 2025-Dec-18 04:37     10 50 59.92 +06 40 58.0  1.79802970466231  -1.9090003   64.4014694  65.9652387
 2025-Dec-18 04:38     10 50 59.73 +06 40 59.0  1.79802893929983  -1.9079045   64.4014156  65.9670644
 2025-Dec-18 04:39     10 50 59.54 +06 41 00.0  1.79802817437819  -1.9068017   64.4013618  65.9688893
 2025-Dec-18 04:40     10 50 59.35 +06 41 01.0  1.79802740990022  -1.9056919   64.4013080  65.9707133
 2025-Dec-18 04:41     10 50 59.15 +06 41 01.9  1.79802664586873  -1.9045751   64.4012542  65.9725363
 2025-Dec-18 04:42     10 50 58.96 +06 41 02.9  1.79802588228652  -1.9034513   64.4012005  65.9743584
 2025-Dec-18 04:43     10 50 58.77 +06 41 03.9  1.79802511915640  -1.9023205   64.4011467  65.9761795
 2025-Dec-18 04:44     10 50 58.57 +06 41 04.9  1.79802435648119  -1.9011827   64.4010929  65.9779996
 2025-Dec-18 04:45     10 50 58.38 +06 41 05.9  1.79802359426369  -1.9000379   64.4010391  65.9798187
 2025-Dec-18 04:46     10 50 58.19 +06 41 06.9  1.79802283250670  -1.8988861   64.4009854  65.9816366
 2025-Dec-18 04:47     10 50 58.00 +06 41 07.9  1.79802207121304  -1.8977273   64.4009316  65.9834535
 2025-Dec-18 04:48     10 50 57.80 +06 41 08.8  1.79802131038550  -1.8965615   64.4008778  65.9852692
 2025-Dec-18 04:49     10 50 57.61 +06 41 09.8  1.79802055002689  -1.8953888   64.4008240  65.9870838
 2025-Dec-18 04:50     10 50 57.42 +06 41 10.8  1.79801979014000  -1.8942090   64.4007703  65.9888972
 2025-Dec-18 04:51     10 50 57.23 +06 41 11.8  1.79801903072765  -1.8930223   64.4007165  65.9907094
 2025-Dec-18 04:52     10 50 57.03 +06 41 12.8  1.79801827179262  -1.8918286   64.4006627  65.9925203
 2025-Dec-18 04:53     10 50 56.84 +06 41 13.8  1.79801751333772  -1.8906279   64.4006089  65.9943300
 2025-Dec-18 04:54     10 50 56.65 +06 41 14.7  1.79801675536573  -1.8894202   64.4005552  65.9961384
 2025-Dec-18 04:55     10 50 56.46 +06 41 15.7  1.79801599787946  -1.8882056   64.4005014  65.9979454
 2025-Dec-18 04:56     10 50 56.26 +06 41 16.7  1.79801524088170  -1.8869840   64.4004476  65.9997511
 2025-Dec-18 04:57     10 50 56.07 +06 41 17.7  1.79801448437523  -1.8857555   64.4003939  66.0015554
 2025-Dec-18 04:58     10 50 55.88 +06 41 18.7  1.79801372836284  -1.8845200   64.4003401  66.0033582
 2025-Dec-18 04:59     10 50 55.68 +06 41 19.7  1.79801297284732  -1.8832776   64.4002863  66.0051597
 2025-Dec-18 05:00     10 50 55.49 +06 41 20.7  1.79801221783147  -1.8820282   64.4002326  66.0069597
 2025-Dec-18 05:01     10 50 55.30 +06 41 21.6  1.79801146331804  -1.8807719   64.4001788  66.0087581
 2025-Dec-18 05:02     10 50 55.11 +06 41 22.6  1.79801070930984  -1.8795087   64.4001250  66.0105551
 2025-Dec-18 05:03     10 50 54.91 +06 41 23.6  1.79800995580964  -1.8782385   64.4000713  66.0123505
 2025-Dec-18 05:04     10 50 54.72 +06 41 24.6  1.79800920282022  -1.8769614   64.4000175  66.0141443
 2025-Dec-18 05:05     10 50 54.53 +06 41 25.6  1.79800845034435  -1.8756774   64.3999637  66.0159365
 2025-Dec-18 05:06     10 50 54.34 +06 41 26.6  1.79800769838480  -1.8743865   64.3999100  66.0177271
 2025-Dec-18 05:07     10 50 54.14 +06 41 27.6  1.79800694694434  -1.8730886   64.3998562  66.0195160
 2025-Dec-18 05:08     10 50 53.95 +06 41 28.5  1.79800619602575  -1.8717839   64.3998025  66.0213032
 2025-Dec-18 05:09     10 50 53.76 +06 41 29.5  1.79800544563178  -1.8704723   64.3997487  66.0230887
 2025-Dec-18 05:10     10 50 53.56 +06 41 30.5  1.79800469576521  -1.8691538   64.3996949  66.0248724
 2025-Dec-18 05:11     10 50 53.37 +06 41 31.5  1.79800394642879  -1.8678284   64.3996412  66.0266544
 2025-Dec-18 05:12     10 50 53.18 +06 41 32.5  1.79800319762528  -1.8664962   64.3995874  66.0284345
 2025-Dec-18 05:13     10 50 52.99 +06 41 33.5  1.79800244935744  -1.8651570   64.3995337  66.0302128
 2025-Dec-18 05:14     10 50 52.79 +06 41 34.5  1.79800170162802  -1.8638110   64.3994799  66.0319893
 2025-Dec-18 05:15     10 50 52.60 +06 41 35.4  1.79800095443977  -1.8624582   64.3994261  66.0337639
 2025-Dec-18 05:16     10 50 52.41 +06 41 36.4  1.79800020779544  -1.8610985   64.3993724  66.0355365
 2025-Dec-18 05:17     10 50 52.21 +06 41 37.4  1.79799946169777  -1.8597319   64.3993186  66.0373073
 2025-Dec-18 05:18     10 50 52.02 +06 41 38.4  1.79799871614951  -1.8583586   64.3992649  66.0390760
 2025-Dec-18 05:19     10 50 51.83 +06 41 39.4  1.79799797115340  -1.8569784   64.3992111  66.0408428
 2025-Dec-18 05:20     10 50 51.64 +06 41 40.4  1.79799722671217  -1.8555914   64.3991574  66.0426075
 2025-Dec-18 05:21     10 50 51.44 +06 41 41.4  1.79799648282855  -1.8541975   64.3991036  66.0443702
 2025-Dec-18 05:22     10 50 51.25 +06 41 42.3  1.79799573950529  -1.8527969   64.3990499  66.0461308
