,Galaxy,RA,Dec,Distance (Mpc),B mag,K mag,Morphology,RA_deg,Dec_deg
1,MESSIER031,0:42:45,41:16:09,0.77,4.2,0.9,Spiral,10.68583333,41.26916667
2,MESSIER033,1:33:51,30:39:37,0.85,6.2,4.1,Spiral,23.46166667,30.66027778
3,Dw1,2:56:56,58:54:42,2.8,15,5.1,Spiral,44.23333333,58.91166667
4,Maffei2,2:41:55,59:36:11,2.8,14.7,4.5,Spiral,40.4775,59.60305556
5,NGC2403,7:36:52,65:35:57,3.18,8.8,6.1,Spiral,114.2145833,65.59916667
6,IC0342,3:46:49,68:05:44,3.28,9.3,4.5,Spiral,56.70291667,68.09555556
8,MESSIER081,9:55:34,69:04:00,3.63,7.7,3.8,Spiral,148.89,69.06666667
13,NGC4826,12:56:44,21:41:04,4.37,9.3,5.3,Spiral,194.1841667,21.68444444
14,NGC4244,12:17:30,37:48:26,4.49,10.8,7.7,Spiral,184.3741667,37.80722222
15,NGC4736,12:50:54,41:07:09,4.66,8.7,5.1,Spiral,192.7229167,41.11916667
17,NGC6503,17:49:28,70:08:40,5.27,10.8,7.3,Spiral,267.3645833,70.14444444
19,NGC6946,20:34:51,60:09:15,5.89,9.6,5.3,Spiral,308.7133333,60.15416667
22,NGC3344,10:43:30,24:55:24,6.85,10.4,7.4,Spiral,160.8766667,24.92333333
23,NGC0672,1:47:53,27:26:00,7.2,11.3,8.5,Spiral,26.97166667,27.43333333
24,NGC0628,1:36:41,15:47:12,7.31,9.7,6.8,Spiral,24.1725,15.78666667
25,NGC4600,12:40:23,3:07:04,7.35,13.7,9.8,S0,190.0966667,3.117777778
26,MESSIER101,14:03:13,54:21:02,7.38,8.3,5.5,Spiral,210.8041667,54.35055556
27,NGC2787,9:19:19,69:12:11,7.48,11.8,7.2,Spiral,139.8270833,69.20305556
28,NGC5195,13:29:59,47:16:05,7.66,10.4,6.2,S0,202.4941667,47.26805556
29,NGC2683,8:52:41,33:25:01,7.73,10.3,6.3,Spiral,133.17,33.41694444
31,NGC4258,12:18:58,47:18:14,7.83,9.1,5.4,Spiral,184.74,47.30388889
32,NGC4136,12:09:18,29:55:38,7.9,11.6,9.3,Spiral,182.3233333,29.92722222
33,NGC7640,23:22:07,40:50:44,7.9,11.6,8.6,Spiral,350.5275,40.84555556
34,NGC4618,12:41:33,41:09:02,7.9,11.3,8.6,Spiral,190.3858333,41.15055556
35,NGC4559,12:35:58,27:57:34,8.1,10.2,7.5,Spiral,188.9908333,27.95944444
37,NGC5194,13:29:53,47:14:03,8.4,8.6,5.5,Spiral,202.47,47.23416667
38,UGCA127,6:20:56,-8:29:44,8.5,14.1,8.3,Spiral,95.23208333,-8.495555556
40,Maffei1,2:36:36,59:39:17,3.01,13.4,5.5,Elliptical,39.14833333,59.65472222
41,NGC3379,10:47:50,12:34:54,11.12,10.2,6.2,Elliptical,161.9566667,12.58166667
42,NGC1400,3:39:31,-18:41:17,24.5,11.9,7.8,Elliptical,54.87916667,-18.68805556
45,LeoT,9:34:53,17:03:05,0.42,16.5,14,Irregular,143.7225,17.05138889
47,NGC6822,19:44:58,-14:48:11,0.5,9.3,6,Irregular,296.2408333,-14.80305556
48,LGS 3,1:03:55,21:53:06,0.65,15,12.4,Irregular,15.97958333,21.885
49,IC0010,0:20:24,59:17:30,0.66,11.7,6.5,Irregular,5.101666667,59.29166667
50,IC1613,1:04:48,2:07:59,0.73,9.8,7.4,Irregular,16.19833333,2.133055556
51,Pegasus,23:28:34,14:44:48,0.76,13.2,9.8,Irregular,352.1416667,14.74666667
52,LeoA,9:59:27,30:44:47,0.81,12.9,10.4,Irregular,149.8604167,30.74638889
53,DDO210,20:46:52,-12:50:53,0.94,14,11.2,Irregular,311.7166667,-12.84805556
54,WLM,0:01:58,-15:27:39,0.97,11,9,Irregular,0.4920833333,-15.46083333
55,Sag dIr,19:29:59,-17:40:41,1.04,14.1,12.1,Irregular,292.4954167,-17.67805556
56,SexA,10:11:01,-4:41:34,1.32,11.8,10.1,Irregular,152.7541667,-4.692777778
59,SexB,10:00:00,5:19:55,1.36,11.8,9.5,Irregular,150,5.331944444
60,UGC04879,9:16:02,52:50:24,1.36,13.8,11.5,Irregular,139.0095833,52.84
61,HIZSS003,7:00:29,-4:12:29,1.67,18,11.3,Irregular,105.1216667,-4.208055556
64,UMin,15:09:11,67:12:51,0.06,11.9,7.6,Dwarf Spheroidal,227.2966667,67.21416667
65,Draco,17:20:01,57:54:33,0.08,10.9,6.6,Dwarf Spheroidal,260.0054167,57.90916667
66,SexDSph,10:13:03,-1:36:51,0.09,11.3,7,Dwarf Spheroidal,153.2625,-1.614166667
70,Hercules,16:31:02,12:47:30,0.15,15,10.6,Dwarf Spheroidal,247.7579167,12.79166667
71,LeoII,11:13:29,22:09:16,0.21,12.6,8.4,Dwarf Spheroidal,168.3720833,22.15444444
72,CVnI,13:28:03,33:33:20,0.22,13.9,9.7,Dwarf Spheroidal,202.0141667,33.55555556
73,And_XVI,0:59:30,32:22:36,0.52,15.7,11.3,Dwarf Spheroidal,14.87416667,32.37666667
74,And_XXIV,1:18:30,46:21:57,0.6,17.2,12.7,Dwarf Spheroidal,19.62458333,46.36583333
75,NGC0185,0:38:58,48:20:09,0.61,9.9,6.5,Dwarf Spheroidal,9.740833333,48.33583333
76,Bol520,0:50:42,32:54:59,0.63,16.2,13.3,Dwarf Spheroidal,12.67666667,32.91638889
77,And_X,1:06:34,44:48:15,0.63,16.7,12.1,Dwarf Spheroidal,16.64083333,44.80416667
78,And_II,1:16:30,33:25:09,0.65,15.1,10.7,Dwarf Spheroidal,19.12333333,33.41916667
79,And_XIV,0:51:35,29:41:48,0.73,16.9,12.5,Dwarf Spheroidal,12.89541667,29.69666667
80,And_XI,0:46:20,33:48:05,0.73,18.5,14,Dwarf Spheroidal,11.58291667,33.80138889
81,And_I,0:45:40,38:02:13,0.73,13.9,9.5,Dwarf Spheroidal,11.41666667,38.03694444
82,And_XXIII,1:29:22,38:43:08,0.73,15.1,10.7,Dwarf Spheroidal,22.34083333,38.71888889
83,NGC4489,12:30:52,16:45:31,15.2,13.2,9.4,Elliptical,187.7179167,16.75861111
84,NGC4486B,12:30:32,12:29:24,15.4,14.5,10.1,Elliptical,187.6333333,12.49
85,MESSIER59,12:42:02,11:38:49,15.5,11,6.7,Elliptical,190.5091667,11.64694444
86,MESSIER49,12:29:47,8:00:01,15.81,13.2,5.4,Elliptical,187.445,8.000277778
87,NGC4478,12:30:17,12:19:42,16,12.4,8.4,Elliptical,187.5725,12.32833333
88,MESSIER86,12:26:12,12:56:46,16.08,9.8,6.1,Elliptical,186.54875,12.94611111
89,NGC4473,12:29:49,13:25:45,16.18,11.2,7.2,Elliptical,187.45375,13.42916667
90,NGC4660,12:44:32,11:11:25,16.4,12.1,8.2,Elliptical,191.1333333,11.19027778
91,MESSIER60,12:43:40,11:33:09,16.55,10.3,5.7,Elliptical,190.9166667,11.5525
92,MESSIER87,12:30:49,12:23:28,16.6,9.6,5.8,Elliptical,187.7058333,12.39111111
93,MESSIER84,12:25:04,12:53:13,16.7,12.1,6.2,Elliptical,186.2654167,12.88694444
94,NGC4564,12:36:27,11:26:21,16.9,12.1,7.9,Elliptical,189.1125,11.43916667
95,NGC4551,12:35:38,12:15:50,16.9,13,8.9,Elliptical,188.9083333,12.26388889
96,NGC4387,12:25:42,12:48:37,17,13,9.2,Elliptical,186.42375,12.81027778
97,NGC4239,12:17:15,16:31:53,17.4,13.5,10.2,Elliptical,184.3120833,16.53138889
98,NGC4458,12:28:58,13:14:30,17.6,12.9,9.3,Elliptical,187.24,13.24166667
99,NGC584,1:31:21,-6:52:05,19.09,11.4,7.3,Elliptical,22.83625,-6.868055556
100,NGC1052,2:41:05,-8:15:20,19.72,11.4,7.5,Elliptical,40.27,-8.255555556
101,NGC596,1:32:52,-7:01:54,21.08,11.5,8,Elliptical,23.21708333,-7.031666667
102,NGC7454,23:01:07,16:23:18,21.14,13.6,8.9,Elliptical,345.2770833,16.38833333
104,NGC4365,12:24:28,7:19:03,21.4,11.5,6.6,Elliptical,186.1179167,7.3175
105,NGC4434,12:27:37,8:09:15,22.1,13.2,9.2,Elliptical,186.9029167,8.154166667
107,NGC720,1:53:01,-13:44:19,23.18,12.4,7.3,Elliptical,28.25208333,-13.73861111
108,NGC1407,3:40:12,-18:34:48,23.26,10.6,6.7,Elliptical,55.04958333,-18.58
109,NGC1172,3:01:36,-14:50:11,23.7,12.9,9.2,Elliptical,45.4,-14.83638889
110,NGC821,2:08:21,10:59:41,23.92,12.2,7.9,Elliptical,32.08791667,10.99472222
111,NGC5638,14:29:40,3:13:59,24,12.1,8.3,Elliptical,217.4183333,3.233055556
113,NGC5322,13:49:15,60:11:25,24.1,11.3,9.9,Elliptical,207.31375,60.19027778
114,NGC4318,12:22:43,8:11:53,24.16,14.1,10.3,Elliptical,185.6804167,8.198055556
